# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x08002BDC	0x08002C1F	thumb	BlitBitmapRect4BitWithoutColorKey
0x08002C20	0x08002DFD	thumb	BlitBitmapRect4Bit
0x08002E00	0x08002EC5	thumb	FillBitmapRect4Bit
0x08002EC8	0x08003115	thumb	BlitBitmapRect4BitTo8Bit
0x08003118	0x080031BB	thumb	FillBitmapRect8Bit
0x080031BC	0x080031BD	thumb	DummyWindowBgTilemap
0x080031C0	0x0800337F	thumb	InitWindows
0x08003380	0x080034D7	thumb	AddWindow
0x080034D8	0x08003573	thumb	AddWindowWithoutTileMap
0x08003574	0x08003603	thumb	RemoveWindow
0x08003604	0x08003657	thumb	FreeAllWindowBuffers
0x08003658	0x080036D5	thumb	CopyWindowToVram
0x080036D8	0x08003789	thumb	CopyWindowRectToVram
0x0800378C	0x080037EB	thumb	PutWindowTilemap
0x080037EC	0x080038A3	thumb	PutWindowRectTilemapOverridePalette
0x080038A4	0x080038F3	thumb	ClearWindowTilemap
0x080038F4	0x080039A3	thumb	PutWindowRectTilemap
0x080039A4	0x080039DB	thumb	BlitBitmapToWindow
0x080039DC	0x08003A9B	thumb	BlitBitmapRectToWindow
0x08003A9C	0x08003B63	thumb	BlitBitmapRectToWindowWithColorKey
0x08003B64	0x08003BEF	thumb	FillWindowPixelRect
0x08003BF0	0x08003C47	thumb	CopyToWindowPixelBuffer
0x08003C48	0x08003C93	thumb	FillWindowPixelBuffer
0x08003C94	0x08004055	thumb	ScrollWindow
0x08004058	0x080040A7	thumb	CallWindowFunction
0x080040A8	0x0800414B	thumb	SetWindowAttribute
0x0800414C	0x0800422D	thumb	GetWindowAttribute
0x08004230	0x0800425B	thumb	GetNumActiveWindowsOnBg
0x0800425C	0x0800425D	thumb	DummyWindowBgTilemap8Bit
0x08004260	0x08004367	thumb	AddWindow8Bit
0x08004368	0x080043A7	thumb	FillWindowPixelBuffer8Bit
0x080043A8	0x08004433	thumb	FillWindowPixelRect8Bit
0x08004434	0x080044FF	thumb	BlitBitmapRectToWindow4BitTo8Bit
0x08004500	0x08004575	thumb	CopyWindowToVram8Bit
