# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x08004434	thumb	BlitBitmapRectToWindow4BitTo8Bit
0x08004500	thumb	CopyWindowToVram8Bit
0x08004578	thumb	GetNumActiveWindowsOnBg8Bit
0x080045A4	thumb	SetFontsPointer
0x080045B0	thumb	DeactivateAllTextPrinters
0x080045D0	thumb	AddTextPrinterParameterized
0x0800467C	thumb	AddTextPrinter
0x08004778	thumb	RunTextPrinters
0x08004800	thumb	IsTextPrinterActive
0x08004818	thumb	RenderFont
0x08004844	thumb	GenerateFontHalfRowLookupTable
0x08004BE0	thumb	SaveTextColors
0x08004C00	thumb	RestoreTextColors
0x08004C10	thumb	DecompressGlyphTile
0x08004D58	thumb	GetLastTextColor
0x08004DA0	thumb	CopyGlyphToWindow
0x080052C8	thumb	ClearTextSpan
0x0800533C	thumb	FontFunc_Small
0x08005370	thumb	FontFunc_Normal
0x080053A8	thumb	FontFunc_Short
0x080053E0	thumb	FontFunc_ShortCopy1
0x08005418	thumb	FontFunc_ShortCopy2
0x08005450	thumb	FontFunc_ShortCopy3
0x08005488	thumb	FontFunc_Narrow
0x080054C0	thumb	FontFunc_SmallNarrow
0x080054F8	thumb	TextPrinterInitDownArrowCounters
0x08005528	thumb	TextPrinterDrawDownArrow
0x08005600	thumb	TextPrinterClearDownArrow
0x08005634	thumb	TextPrinterWaitAutoMode
0x08005650	thumb	TextPrinterWaitWithDownArrow
0x0800569C	thumb	TextPrinterWait
0x080056E0	thumb	DrawDownArrow
0x080057B4	thumb	RenderText
0x08005D74	thumb	GetStringWidthFixedWidthFont
0x08005EA8	thumb	GetFontWidthFunc
0x08005ED8	thumb	GetStringWidth
0x08006140	thumb	RenderTextHandleBold
0x080062E8	thumb	DrawKeypadIcon
0x08006338	thumb	GetKeypadIconTileOffset
0x08006348	thumb	GetKeypadIconWidth
0x08006358	thumb	GetKeypadIconHeight
0x08006368	thumb	SetDefaultFontsPointer
0x08006378	thumb	GetFontAttribute
0x08006460	thumb	GetMenuCursorDimensionByFont
0x08006478	thumb	DecompressGlyph_Small
0x08006540	thumb	GetGlyphWidth_Small
0x08006560	thumb	DecompressGlyph_Narrow
0x08006628	thumb	GetGlyphWidth_Narrow
0x08006648	thumb	DecompressGlyph_SmallNarrow
0x08006710	thumb	GetGlyphWidth_SmallNarrow
0x08006730	thumb	DecompressGlyph_Short
0x0800681C	thumb	GetGlyphWidth_Short
0x08006840	thumb	DecompressGlyph_Normal
0x08006908	thumb	GetGlyphWidth_Normal
0x08006928	thumb	DecompressGlyph_Bold
0x08006974	thumb	ResetSpriteData
0x080069C0	thumb	AnimateSprites
0x08006A0C	thumb	BuildOamBuffer
0x08006A58	thumb	UpdateOamCoords
0x08006B1C	thumb	BuildSpritePriorities
0x08006B5C	thumb	SortSprites
0x08006D1C	thumb	CopyMatricesToOamBuffer
0x08006D68	thumb	AddSpritesToOamBuffer
0x08006DF4	thumb	CreateSprite
0x08006E48	thumb	CreateSpriteAtEnd
0x08006EB4	thumb	CreateInvisibleSprite
0x08006EFC	thumb	CreateSpriteAt
0x08007054	thumb	CreateSpriteAndAnimate
0x080070E8	thumb	DestroySprite
0x08007150	thumb	ResetOamRange
0x08007188	thumb	LoadOam
0x080071B8	thumb	ClearSpriteCopyRequests
0x080071F8	thumb	ResetOamMatrices
0x08007224	thumb	SetOamMatrix
0x08007244	thumb	ResetSprite
0x08007258	thumb	CalcCenterToCornerVec
0x0800729C	thumb	AllocSpriteTiles
0x080073B8	thumb	SpriteTileAllocBitmapOp
0x08007428	thumb	SpriteCallbackDummy
0x0800742C	thumb	ProcessSpriteCopyRequests
0x08007488	thumb	RequestSpriteFrameImageCopy
0x080074EC	thumb	RequestSpriteCopy
0x0800753C	thumb	CopyFromSprites
0x08007564	thumb	CopyToSprites
0x0800758C	thumb	ResetAllSprites
0x080075C8	thumb	FreeSpriteTiles
0x080075E4	thumb	FreeSpritePalette
0x080075F4	thumb	FreeSpriteOamMatrix
0x08007620	thumb	DestroySpriteAndFreeResources
0x08007640	thumb	AnimateSprite
0x08007688	thumb	BeginAnim
0x08007778	thumb	ContinueAnim
0x08007818	thumb	AnimCmd_frame
0x080078C4	thumb	AnimCmd_end
0x080078DC	thumb	AnimCmd_jump
0x080079A4	thumb	AnimCmd_loop
0x080079C4	thumb	BeginAnimLoop
0x080079FC	thumb	ContinueAnimLoop
0x08007A1C	thumb	JumpToTopOfAnimLoop
0x08007A90	thumb	BeginAffineAnim
0x08007B24	thumb	ContinueAffineAnim
0x08007BD8	thumb	AffineAnimDelay
0x08007C0C	thumb	AffineAnimCmd_loop
0x08007C40	thumb	BeginAffineAnimLoop
0x08007C7C	thumb	ContinueAffineAnimLoop
0x08007CAC	thumb	JumpToTopOfAffineAnimLoop
0x08007D18	thumb	AffineAnimCmd_jump
0x08007D64	thumb	AffineAnimCmd_end
0x08007DA0	thumb	AffineAnimCmd_frame
0x08007DD8	thumb	CopyOamMatrix
0x08007DF8	thumb	GetSpriteMatrixNum
0x08007E18	thumb	SetSpriteMatrixAnchor
0x08007E28	thumb	GetAnchorCoord
0x08007E54	thumb	UpdateSpriteMatrixAnchorPos
0x08007EF0	thumb	SetSpriteOamFlipBits
0x08007F64	thumb	AffineAnimStateRestartAnim
0x08007F80	thumb	AffineAnimStateStartAnim
0x08007FA8	thumb	AffineAnimStateReset
0x08007FD0	thumb	ApplyAffineAnimFrameAbsolute
0x08007FF4	thumb	DecrementAnimDelayCounter
0x0800801C	thumb	DecrementAffineAnimDelayCounter
0x0800804C	thumb	ApplyAffineAnimFrameRelativeAndUpdateMatrix
0x080080E4	thumb	ConvertScaleParam
0x080080FC	thumb	GetAffineAnimFrame
0x08008168	thumb	ApplyAffineAnimFrame
0x080081A8	thumb	StartSpriteAnim
0x080081C0	thumb	StartSpriteAnimIfDifferent
0x080081DC	thumb	SeekSpriteAnim
0x08008258	thumb	StartSpriteAffineAnim
0x08008284	thumb	StartSpriteAffineAnimIfDifferent
0x080082B8	thumb	ChangeSpriteAffineAnim
0x080082F0	thumb	ChangeSpriteAffineAnimIfDifferent
0x08008324	thumb	SetSpriteSheetFrameTileNum
0x0800837C	thumb	ResetAffineAnimData
0x080083B0	thumb	AllocOamMatrix
0x080083E8	thumb	FreeOamMatrix
0x08008428	thumb	InitSpriteAffineAnim
0x08008478	thumb	SetOamMatrixRotationScaling
0x080084F8	thumb	LoadSpriteSheet
0x0800853C	thumb	LoadSpriteSheets
0x08008568	thumb	FreeSpriteTilesByTag
0x080085E0	thumb	FreeSpriteTileRanges
0x08008620	thumb	GetSpriteTileStartByTag
0x0800864C	thumb	IndexOfSpriteTileTag
