# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x08002B1C	0x08002B5F	thumb	sub_08002B1C
0x08002B60	0x08002BA3	thumb	sub_08002B60
0x08002BA4	0x08002BCB	thumb	sub_08002BA4
0x08002BCC	0x08002BF1	thumb	sub_08002BCC
0x08002BF4	0x08002C1F	thumb	sub_08002BF4
0x08002C20	0x08002C4B	thumb	sub_08002C20
0x08002C4C	0x08002C53	thumb	sub_08002C4C
0x08002C54	0x08002C5B	thumb	sub_08002C54
0x08002C5C	0x08002D17	thumb	sub_08002C5C
0x08002D18	0x08002D87	thumb	sub_08002D18
0x08002D88	0x08002D97	thumb	sub_08002D88
0x08002D98	0x08002DAF	thumb	sub_08002D98
0x08002DB0	0x08002DC7	thumb	sub_08002DB0
0x08002DC8	0x08002DFF	thumb	sub_08002DC8
0x08002E00	0x08002E33	thumb	sub_08002E00
0x08002E34	0x08002E5D	thumb	lerp2
0x08002E60	0x08002E89	thumb	lerp
0x08002E8C	0x08002EDF	thumb	sub_08002E8C
0x08002EE0	0x08002F8B	thumb	sub_08002EE0
0x08002F8C	0x08002FA3	thumb	sub_08002F8C
0x08002FA4	0x08002FBF	thumb	sub_08002FA4
0x08002FC0	0x08002FD1	thumb	Divide
0x08002FD4	0x08002FE5	thumb	RemainderNullOnDBZ
0x08002FE8	0x08003007	thumb	sub_08002FE8
0x08003008	0x08003023	thumb	sub_08003008
0x08003024	0x0800303B	thumb	sub_08003024
0x0800303C	0x080030A3	thumb	sub_0800303C
0x080030A4	0x080031DF	thumb	sub_080030A4
0x080031E0	0x080031EF	thumb	sub_080031E0
0x080031F0	0x08003277	thumb	sub_080031F0
0x08003278	0x08003313	thumb	sub_08003278
0x08003314	0x08003393	thumb	sub_08003314
0x08003394	0x08003407	thumb	sub_08003394
0x08003408	0x080034C7	thumb	sub_08003408
0x080034C8	0x08003553	thumb	sub_080034C8
0x08003554	0x080035C3	thumb	sub_08003554
0x080035C4	0x080036E7	thumb	sub_080035C4
0x080036E8	0x0800371F	thumb	sub_080036E8
0x08003720	0x0800377B	thumb	init_audio
0x0800377C	0x080037A7	thumb	snd_restart
0x080037A8	0x080037BB	thumb	snd_vsync
0x080037BC	0x080037D7	thumb	snd_main
0x080037D8	0x080037E1	thumb	snd_vsync_on
0x080037E4	0x080037ED	thumb	snd_vsync_off
0x080037F0	0x080038A3	thumb	startSong_battle
0x080038A4	0x08003927	thumb	startSong
0x08003928	0x0800399B	thumb	startSong_alt
0x0800399C	0x080039FF	thumb	play_sound
0x08003A00	0x08003A5F	thumb	musicPlayerFadeInIfPaused_bgm
0x08003A60	0x08003AB7	thumb	musicPlayerFadeIn_bgm
0x08003AB8	0x08003ADF	thumb	musicPlayerFadeOutTemp_bgm
