# addr	mode	name  (STT_FUNC from a byte-matching decomp ELF; blank name = let the finder synthesise one)
0x080037E4	thumb	snd_vsync_off
0x080037F0	thumb	startSong_battle
0x080038A4	thumb	startSong
0x08003928	thumb	startSong_alt
0x0800399C	thumb	play_sound
0x08003A00	thumb	musicPlayerFadeInIfPaused_bgm
0x08003A60	thumb	musicPlayerFadeIn_bgm
0x08003AB8	thumb	musicPlayerFadeOutTemp_bgm
0x08003AE0	thumb	musicPlayerFadeIn_sfx
0x08003B30	thumb	musicPlayerFadeOut_sfx
0x08003B58	thumb	musicPlayerStop_bgm
0x08003BA8	thumb	musicPlayerStop_sfx
0x08003BF8	thumb	musicPlayerPause_bgm
0x08003C20	thumb	musicPlayerContinue_bgm
0x08003C48	thumb	musicPlayerUpdateVolume
0x08003C88	thumb	musicPlayerInitAndUpdateVolume
0x08003CD0	thumb	musicPlayerSetPanpotClamped
0x08003D14	thumb	getCurrentTrack
0x08003D34	thumb	getPrevTrack
0x08003D48	thumb	getMusicPlayerVolumePercent
0x08003D64	thumb	isMusicPlayerPlaying_bgm
0x08003D84	thumb	getMusicPlayerIndex
0x08003DD0	thumb	getMusicPlayer_bgm
0x08003DF8	thumb	getMusicPlayer_sfx
0x08003E20	thumb	percentToMPlayVolume
0x08003E5C	thumb	MPlayVolumeToPercent
0x08003EA0	thumb	storeMusicPlayerVolumes
0x08003ECC	thumb	retrieveMusicPlayerVolumes
0x08003EF8	thumb	sub_08003EF8
0x08004044	thumb	sub_08004044
0x0800408C	thumb	sub_0800408C
0x08004114	thumb	sub_08004114
0x0800444C	thumb	sub_0800444C
0x080044B8	thumb	sub_080044B8
0x0800451C	thumb	sub_0800451C
0x08004660	thumb	sub_08004660
0x08004794	thumb	sub_08004794
0x0800494C	thumb	sub_0800494C
0x08004BB8	thumb	sub_08004BB8
0x08004CB8	thumb	sub_08004CB8
0x08004E64	thumb	sub_08004E64
0x08004F7C	thumb	sub_08004F7C
0x08004FB4	thumb	sub_08004FB4
0x080050FC	thumb	nullsub_1
0x08005100	thumb	nullsub_2
0x08005104	thumb	exec_mode
0x0800519C	thumb	sub_0800519C
0x080051E0	thumb	sub_080051E0
0x080052D0	thumb	sub_080052D0
